"RegID","UserID","RegionId","FullName","FirstName","LastName","Company","Address1","Address2","Address3","City","State","Zip","Country","Phone","Fax","LastModifiedDate","LastModifiedBy","ActiveFlag"
"1","863CA9B5-1C91-4765-AC2E-1862917F2ECF","1","brian gaines","","","any company","","","","","","","","","","2006-12-10 22:19:34","0","0"
"2","F0DD911F-BA79-4134-8B3C-C32E1C2243BF","1","Brian Gaines","","","NLT","","","","","","","","","","2006-12-14 18:02:08","0","0"
"3","90CF3622-E31A-40E3-B337-57D50EF2C2DD","1","Kelly","","","NLT","","","","","","","","","","2006-12-16 16:25:34","0","0"
"4","5C52FC57-D632-43BC-9929-BC000696C236","1","Kelly Roe","","","NLT","","","","","","","","","","2006-12-23 02:41:53","0","0"
"5","7490F082-42D1-4A4F-9FF4-0B4094ACA1D0","1","test","","","test","","","","","","","","","","2006-12-23 02:50:21","0","0"
"7","1E04002F-3DAC-4E85-B644-297A35D5BBF4","1","Test","","","","","","","","","","","","","2006-12-23 03:06:08","0","0"
"9","CBABFC98-C647-4E79-B469-687E06DC3427","1","fdsafdsa","","","","","","","","","","","","","2006-12-23 03:14:13","0","0"
"10","72E309A0-7342-4768-B753-5A9DC709B7C3","1","Kelly Roe","","","test","","","","","","","","","","2006-12-28 17:34:22","0","1"
"11","64771607-58E2-4E39-85EF-29E9E78AA69A","1","Test","","","Test","","","","","","","","","","2006-12-31 12:25:06","0","1"
"15","0EC17427-1E80-4E46-AA9B-2CB41202CB7A","1","test","","","test","","","","","","","","","","2007-01-02 01:04:37","0","1"
"16","CE2450D8-4671-4E8B-A57C-8FA5BA6C56F8","1","Kelly","","","","","","","","","","","","","2007-01-02 01:17:39","0","1"
"17","68FB0DD5-D90B-40A1-AB27-860A70D986E3","1","test","","","test","","","","","","","","","","2007-01-02 01:23:03","0","1"
"20","598AE4C7-8BA7-4B88-BC4C-76B8BD71C265","1","Kelly","","","NLT","","","","","","","","","","2007-01-31 08:30:31","0","1"
"21","CE612C75-5D60-4103-86D5-B40E1E098B7C","1","Brian Gaines","","","NLT","","","","","","","","","","2007-01-31 08:33:48","0","1"
"22","405A3C3C-E699-4BDF-BABB-0A49E5C57862","1","Kelly Roe","","","NLT","","","","","","","","","","2007-02-23 17:39:39","0","1"
"23","FB069159-9061-4748-BB3A-D290E3202582","1","Wass up","","","Yo","","","","","","","","","","2007-02-23 17:40:54","0","1"
"24","3A28A2B2-4172-48AC-A348-3A9A9E7BE74B","1","Kelly Roe","","","NLT","","","","","","","","","","2007-02-23 17:44:29","0","1"
"25","3A929972-123A-4FB0-B77C-A85FC05C2A76","1","John Smith","","","Company Name Here","","","","","","","","","","2007-02-23 17:48:14","0","1"
"26","F2DAB1B2-3F89-4DA3-BCD2-89B9A42262AE","1","Brian Gaines","","","NLT","","","","","","","","","","2007-02-23 17:57:37","0","1"
